classification_id,artifact_path,authority_surfaces,capability_kinds,security_sensitive,primary_disposition,security_reviewer_role,security_review_status,risk_indicator_only,live_authority_inferred,runtime_authorized,live_order_authorized,capital_authorized,record_digest
ARTCLS_DF3F5FD9F7AABFEBD25E20C424919681,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase06_close_confirmation_v2.py,"[""FILE_PERSISTENCE""]","[""FILE_IO""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:8c72fbff2f6e6e1ec9041ee63a51bd93b5589236d7972f72b2a0d4454c282385
ARTCLS_D2F3A77D75D7A607A34BEB38996F91CF,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase07_reference_lifecycle_v2.py,"[""FILE_PERSISTENCE""]","[""FILE_IO""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:8ea9de7ea245b821e83dd0fc88b1d456eea13376e1a8542a454709520cb77b3d
ARTCLS_87F7C07470371F511845910E6B1DFBAC,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase08_divergence_drawing_v2.py,"[""DYNAMIC_CODE"",""FILE_PERSISTENCE""]","[""FILE_IO"",""SUBPROCESS""]",true,SECURITY_RESTRICTED,SECURITY_REVIEWER,PENDING_HUMAN_REVIEW,true,false,false,false,false,sha256:b855a356ea2f74e228861305739dd19df3eeb90c03600d3b41ad62dd999f04dc
ARTCLS_9DE6FE269FE62AAD82F305A2C69AB302,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase09_session_boxes_v2.py,"[""DYNAMIC_CODE"",""FILE_PERSISTENCE""]","[""FILE_IO"",""SUBPROCESS""]",true,SECURITY_RESTRICTED,SECURITY_REVIEWER,PENDING_HUMAN_REVIEW,true,false,false,false,false,sha256:d94acc08a156d024d50c5c9abef5a80cb86a93be724bf12f8c30c43d677df475
ARTCLS_DD0DB250BA8E61A95F47E5BA73A4A675,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase10_hotfix002_visual_recovery.py,"[""DYNAMIC_CODE"",""FILE_PERSISTENCE""]","[""FILE_IO"",""FILE_MUTATION"",""SUBPROCESS""]",true,SECURITY_RESTRICTED,SECURITY_REVIEWER,PENDING_HUMAN_REVIEW,true,false,false,false,false,sha256:41274c36569910912ea11a92d815a5f949ec200b706be972b6c47626889f74aa
ARTCLS_D597F7DE170D3BAFC803606D3AEBAED6,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase10_unified_visual_v2.py,"[""FILE_PERSISTENCE""]","[""FILE_IO""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:40bbde0a97291e28d61d719d7f6a3e84702ff1b7692a26ffe325cab5fcc4feff
ARTCLS_C38EEA2E31A6195C89B85ACE431D4A00,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase11_historical_replay_v2.py,"[""DYNAMIC_CODE"",""FILE_PERSISTENCE""]","[""FILE_IO"",""SUBPROCESS""]",true,SECURITY_RESTRICTED,SECURITY_REVIEWER,PENDING_HUMAN_REVIEW,true,false,false,false,false,sha256:47d1d964567e66eef85bb7a7a0fa0109c6797f324d09ed6a78372d21762a627c
ARTCLS_EC34A6D3D0972117A8136A01AF824D45,lab/10_infrastructure/EXP0018_daye_trader/tools/validate_exp0018_implementation_design_v2.py,"[""FILE_PERSISTENCE""]","[""FILE_IO""]",false,QUARANTINE_UNCERTAIN,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:10a437510fe9f580953ffe52b7f2fe1783d3407ad34ee773a87640883f1e6c9f
ARTCLS_D2958A1D04866EAFA447CC5705EEF2C1,lab/10_infrastructure/EXP0018_daye_trader/tools/validate_exp0018_phase00_doctrine_v2.py,"[""FILE_PERSISTENCE""]","[""FILE_IO""]",false,QUARANTINE_UNCERTAIN,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:ef88417e9f56d7f4a875255872fdd158591858ce01eeafc538babaa178ece735
ARTCLS_CD2BBD53EEE3EA15971A94B132D6914A,lab/10_infrastructure/EXP0018_daye_trader/tools/validate_exp0018_phase01_time_kernel_v2.py,"[""FILE_PERSISTENCE""]","[""FILE_IO"",""FILE_MUTATION""]",false,EXTRACT_SHARED_LOGIC,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:323efdabe43ba45039a46a9c3b658280c33ec74ec7c0621941c163c9bd7db5d3
ARTCLS_F2A7009A8C5490A7F65DFA7EC0738474,lab/10_infrastructure/EXP0018_daye_trader/tools/validate_exp0018_phase02_data_sync_v2.py,"[""FILE_PERSISTENCE""]","[""FILE_IO"",""FILE_MUTATION""]",false,QUARANTINE_UNCERTAIN,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:dd62ba814243a3bae0b5a88022c04870d6f33ee7c6511bccc22d3b1cd1988103
ARTCLS_058B82915F1F81A7D4AE64612EAA2F55,lab/10_infrastructure/EXP0018_daye_trader/tools/validate_exp0018_phase03_period_aggregation_v2.py,"[""FILE_PERSISTENCE""]","[""FILE_IO""]",false,QUARANTINE_UNCERTAIN,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:3d3f9c8d062ec95ec30b11d16081fffb9e903cd748e4e803c070fa6e5d66bf10
